object_number,is_highlight,is_public_domain,object_id,department,object_name,title,culture,period,dynasty,reign,portfolio,artist_role,artist_prefix,artist_display_name,artist_display_bio,artist_suffix,artist_alpha_sort,artist_nationality,artist_begin_date,artist_end_date,object_date,object_begin_date,object_end_date,medium,dimensions,credit_line,geography_type,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rights_and_reproduction,link_resource,metadata_date,repository
2014.247,false,true,646996,Asian Art,Screen,전(傳) 오원 장승업 (1843–1897) 청동기와 화초가 있는 정물화 조선|傳 吾園 張承業 器皿折枝圖 朝鮮|Still life with bronze vessels and flowering plants,Korea,Joseon dynasty (1392–1910),,,,Artist,Attributed to,Jang Seung-eop (pen name: Owon),"Korean, 1843–1897",,Jang Seung-eop,Korean,1843,1897,1894,1894,1894,Ten-panel folding screen; ink on paper,Overall: 77 in. × 14 ft. 2 in. (195.6 × 431.8 cm),"Gift of Mrs. Anita H. Berger, in memory of Ambassador Samuel D. Berger, 2014",,,,,,,,,,,,Screens,,http://www.metmuseum.org/art/collection/search/646996,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
2012.329,false,true,77916,Asian Art,Hanging scroll,석지 채용신    학자 초상|石芝 蔡龍臣 學者肖像|Portrait of a scholar,Korea,,,,,Artist,,Chae Yongsin (artist name: Seokji) (ASA),"Korean, 1850–1941",,Chae Yongsin,Korean,1850,1941,dated by inscription to 1924,1924,1924,Hanging scroll; ink and color on silk,Image: 38 1/8 × 21 1/8 in. (96.8 × 53.7 cm) Overall with mounting: 48 × 24 7/16 in. (121.9 × 62.1 cm) Overall with knobs: 48 × 24 3/4 in. (121.9 × 62.9 cm),"Purchase, Friends of Asian Art Gifts, 2012",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/77916,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
1994.377,false,true,38009,Asian Art,Painting,,"India (Himachal Pradesh, Jasrota)",,,,,Artist,Attributed to,Nainsukh,active ca. 1735–78,,Nainsukh,Indian,1725,1778,ca. 1745–50,1735,1760,"Ink, opaque watercolor, and gold on paper",Overall: 7 3/4 x 6 1/8 in. (19.7 x 15.6 cm),"Rogers Fund, 1994",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/38009,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
1987.424.13,false,true,37988,Asian Art,Folio,,"India (Punjab Hills, Guler)",,,,,Artist,Workshop active in the generation after,Nainsukh,active ca. 1735–78,,Nainsukh,Indian,1725,1778,ca. 1790,1780,1800,Ink and opaque watercolor on paper,9 15/16 x 13 15/16 in. (25.2 x 35.4 cm),"Gift of Cynthia Hazen Polsky, 1987",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/37988,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
2008.359.13,false,true,74660,Asian Art,Painting,,"India (Himachal Pradesh, Guler)",,,,,Artist,Attributed to a first-generation master after,Nainsukh,active ca. 1735–78,,Nainsukh,Indian,1725,1778,ca. 1780,1770,1790,Charcoal and opaque watercolor on paper,Image (sight): 5 3/8 x 7 5/8 in. (13.7 x 19.4 cm),"Gift of Subhash Kapoor, in memory of his parents, Smt Shashi Kanta and Shree Parshotam Ram Kapoor, 2008",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/74660,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
2008.359.22,false,true,74674,Asian Art,Painting,,"India (Himachal Pradesh, Guler)",,,,,Artist,Attributed to a first-generation master after,Nainsukh,active ca. 1735–78,,Nainsukh,Indian,1725,1778,ca. 1780,1770,1790,"Ink, ocher and underdrawing",Image (sight): 8 3/4 x 11 3/4 in. (22.2 x 29.8 cm),"Gift of Subhash Kapoor, in memory of his parents, Smt Shashi Kanta and Shree Parshotam Ram Kapoor, 2008",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/74674,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
2008.359.23,false,true,74675,Asian Art,Drawing,,"India (Pahari Hills, Guler or Kangra)",,,,,Artist,Attributed to a first-generation master after,Nainsukh,active ca. 1735–78,,Nainsukh,Indian,1725,1778,ca. 1775–80,1775,1780,Red ochre and wash on paper,8 3/8 x 11 3/8 in. (21.3 x 28.9 cm),"Gift of Subhash Kapoor, in memory of his parents, Smt Shashi Kanta and Shree Parshotam Ram Kapoor, 2008",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/74675,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
2008.359.24,false,true,74677,Asian Art,Painting,,"India (Pahari Hills, Guler or Kangra)",,,,,Artist,Attributed to a follower of,Nainsukh,active ca. 1735–78,,Nainsukh,Indian,1725,1778,ca. 1780,1770,1790,Ink and wash on paper,Image (sight): 10 3/8 x 9 in. (26.4 x 22.9 cm),"Gift of Subhash Kapoor, in memory of his parents, Smt Shashi Kanta and Shree Parshotam Ram Kapoor, 2008",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/74677,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
2008.359.30,false,true,74685,Asian Art,Painting,,"India (Pahari Hills, Kangra)",,,,,Artist,Attributed to,Nainsukh,active ca. 1735–78,,Nainsukh,Indian,1725,1778,ca. 1775–80,1765,1790,Ink and transparent watercolor on paper,Image (sight): 6 5/8 x 10 1/4 in. (16.8 x 26 cm) Framed: 16 x 20 in. (40.6 x 50.8 cm),"Gift of Subhash Kapoor, in memory of his parents, Smt Shashi Kanta and Shree Parshotam Ram Kapoor, 2008",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/74685,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
2003.375,false,true,65595,Asian Art,Painting,,"India (Rajasthan, Mewar)",,,,,Artist,,Chokha,"Indian, active 1799–ca. 1826",,Chokha,Indian,1799,1826,ca. 1820,1810,1830,"Ink, opaque watercolor, silver, and gold on paper",8 1/4 x 13 1/4 in. (21 x 33.7 cm),"Cynthia Hazen Polsky and Leon B. Polsky Fund, 2003",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/65595,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
