import time: self [us] | cumulative | imported package
import time:       426 |        426 |   _io
import time:        61 |         61 |   marshal
import time:       575 |        575 |   posix
import time:       554 |       1614 | _frozen_importlib_external
import time:       184 |        184 |   time
import time:       193 |        376 | zipimport
import time:        75 |         75 |     _codecs
import time:       480 |        554 |   codecs
import time:       791 |        791 |   encodings.aliases
import time:      1080 |       2424 | encodings
import time:       405 |        405 | encodings.utf_8
import time:       248 |        248 | _signal
import time:        51 |         51 |     _abc
import time:       209 |        260 |   abc
import time:       318 |        578 | io
import time:        74 |         74 |       _stat
import time:        90 |        164 |     stat
import time:      1398 |       1398 |     _collections_abc
import time:        58 |         58 |       genericpath
import time:       127 |        184 |     posixpath
import time:       534 |       2277 |   os
import time:       112 |        112 |   _sitebuiltins
import time:       346 |        346 |     __future__
import time:       564 |        564 |         warnings
import time:       380 |        943 |       importlib
import time:        94 |       1036 |     importlib.machinery
import time:       388 |        388 |       importlib._abc
import time:       487 |        487 |       types
import time:       202 |       1077 |     importlib.util
import time:       220 |        220 |     itertools
import time:       224 |        224 |               _operator
import time:       569 |        792 |             operator
import time:       356 |        356 |                 keyword
import time:       347 |        347 |                 reprlib
import time:       259 |        259 |                 _collections
import time:      1483 |       2443 |               collections
import time:       101 |        101 |               _functools
import time:      1061 |       3604 |             functools
import time:      3020 |       7415 |           enum
import time:       127 |        127 |             _sre
import time:       526 |        526 |               re._constants
import time:       704 |       1230 |             re._parser
import time:       253 |        253 |             re._casefix
import time:       731 |       2339 |           re._compiler
import time:       508 |        508 |           copyreg
import time:       929 |      11189 |         re
import time:       393 |      11582 |       fnmatch
import time:       114 |        114 |         _winapi
import time:       154 |        154 |         nt
import time:        85 |         85 |         nt
import time:        75 |         75 |         nt
import time:        73 |         73 |         nt
import time:        69 |         69 |         nt
import time:        75 |         75 |         nt
import time:       189 |        831 |       ntpath
import time:       105 |        105 |       errno
import time:       257 |        257 |         urllib
import time:       413 |        413 |         math
import time:      2447 |       2447 |         ipaddress
import time:      3192 |       6307 |       urllib.parse
import time:      1595 |      20418 |     pathlib
import time:      1053 |      24147 |   __editable___google_api_core_2_30_3_finder
import time:       474 |        474 |   __editable___google_auth_2_53_0_finder
import time:       410 |        410 |   __editable___google_cloud_compute_1_47_0_finder
import time:       380 |        380 |   __editable___proto_plus_1_28_0_finder
import time:       238 |        238 |   sitecustomize
import time:      4796 |      32831 | site
import time:       326 |        326 |   google.cloud.aiplatform.version
import time:       470 |        470 |     concurrent
import time:       344 |        344 |             collections.abc
import time:       336 |        336 |                 token
import time:        92 |         92 |                 _tokenize
import time:      1603 |       2029 |               tokenize
import time:       346 |       2375 |             linecache
import time:      1619 |       1619 |             textwrap
import time:      1264 |       1264 |             contextlib
import time:      1180 |       6781 |           traceback
import time:       433 |        433 |             _weakrefset
import time:       842 |       1275 |           weakref
import time:        62 |         62 |             _string
import time:      1157 |       1219 |           string
import time:      1197 |       1197 |           threading
import time:        78 |         78 |           atexit
import time:      3455 |      14003 |         logging
