import time: self [us] | cumulative | imported package
import time:       536 |        536 |   _io
import time:        87 |         87 |   marshal
import time:      1077 |       1077 |   posix
import time:       687 |       2385 | _frozen_importlib_external
import time:       235 |        235 |   time
import time:       213 |        447 | zipimport
import time:       101 |        101 |     _codecs
import time:       595 |        695 |   codecs
import time:      1097 |       1097 |   encodings.aliases
import time:      1343 |       3134 | encodings
import time:       576 |        576 | encodings.utf_8
import time:       302 |        302 | _signal
import time:        56 |         56 |     _abc
import time:       261 |        316 |   abc
import time:       359 |        675 | io
import time:        77 |         77 |       _stat
import time:       134 |        210 |     stat
import time:      1667 |       1667 |     _collections_abc
import time:        60 |         60 |       genericpath
import time:       154 |        214 |     posixpath
import time:       656 |       2745 |   os
import time:       130 |        130 |   _sitebuiltins
import time:       465 |        465 |     __future__
import time:       778 |        778 |         warnings
import time:       407 |       1184 |       importlib
import time:       104 |       1288 |     importlib.machinery
import time:       506 |        506 |       importlib._abc
import time:       584 |        584 |       types
import time:       211 |       1299 |     importlib.util
import time:       511 |        511 |     itertools
import time:       286 |        286 |               _operator
import time:       771 |       1057 |             operator
import time:       335 |        335 |                 keyword
import time:       388 |        388 |                 reprlib
import time:       329 |        329 |                 _collections
import time:      2239 |       3290 |               collections
import time:       100 |        100 |               _functools
import time:      1241 |       4630 |             functools
import time:      3174 |       8859 |           enum
import time:       226 |        226 |             _sre
import time:       741 |        741 |               re._constants
import time:       950 |       1691 |             re._parser
import time:       328 |        328 |             re._casefix
import time:       877 |       3119 |           re._compiler
import time:       765 |        765 |           copyreg
import time:      1034 |      13776 |         re
import time:       405 |      14181 |       fnmatch
import time:       123 |        123 |         _winapi
import time:        91 |         91 |         nt
import time:        76 |         76 |         nt
import time:        73 |         73 |         nt
import time:        88 |         88 |         nt
import time:       102 |        102 |         nt
import time:        77 |         77 |         nt
import time:       249 |        875 |       ntpath
import time:       131 |        131 |       errno
import time:       288 |        288 |         urllib
import time:       516 |        516 |         math
import time:      3112 |       3112 |         ipaddress
import time:      3689 |       7604 |       urllib.parse
import time:      2246 |      25036 |     pathlib
import time:      1119 |      29716 |   __editable___google_api_core_2_30_3_finder
import time:       520 |        520 |   __editable___google_auth_2_53_0_finder
import time:       459 |        459 |   __editable___google_cloud_compute_1_47_0_finder
import time:       429 |        429 |   __editable___proto_plus_1_28_0_finder
import time:       257 |        257 |   sitecustomize
import time:      5525 |      39778 | site
import time:       649 |        649 |   google.cloud.compute.gapic_version
import time:       625 |        625 |                 collections.abc
import time:      1534 |       1534 |                 contextlib
import time:       108 |        108 |                 _typing
import time:      7063 |       9329 |               typing
import time:       729 |        729 |                   _datetime
import time:       317 |       1046 |                 datetime
import time:       404 |        404 |                     _csv
import time:       767 |       1170 |                   csv
import time:       374 |        374 |                   email
import time:       688 |        688 |                     binascii
import time:       394 |        394 |                       zlib
import time:       422 |        422 |                         _compression
import time:       545 |        545 |                         _bz2
import time:       524 |       1490 |                       bz2
import time:       726 |        726 |                         _lzma
import time:       502 |       1227 |                       lzma
import time:      1449 |       4558 |                     shutil
import time:       340 |        340 |                       _struct
import time:       336 |        676 |                     struct
import time:       460 |        460 |                       _weakrefset
import time:      1254 |       1713 |                     threading
import time:       346 |        346 |                       zipfile._path.glob
import time:       947 |       1292 |                     zipfile._path
import time:       319 |        319 |                     zipfile.__main__
import time:      2171 |      11415 |                   zipfile
import time:      2889 |       2889 |                   textwrap
import time:      2343 |       2343 |                       _ast
import time:      3411 |       5753 |                     ast
import time:       523 |        523 |                         _opcode
import time:      1438 |       1961 |                       opcode
import time:      2370 |       4330 |                     dis
import time:       409 |        409 |                         token
import time:        67 |         67 |                         _tokenize
import time:      1978 |       2452 |                       tokenize
import time:       436 |       2887 |                     linecache
import time:      5119 |      18089 |                   inspect
import time:       409 |        409 |                       quopri
import time:       331 |        331 |                             _bisect
import time:       383 |        713 |                           bisect
import time:       338 |        338 |                           _random
import time:       155 |        155 |                           _sha512
import time:      3993 |       3993 |                             _hashlib
import time:       392 |        392 |                             _blake2
import time:       455 |       4839 |                           hashlib
import time:      2180 |       8222 |                         random
import time:       685 |        685 |                           _socket
import time:       359 |        359 |                             select
import time:      1257 |       1615 |                           selectors
import time:       442 |        442 |                           array
import time:      3812 |       6552 |                         socket
import time:       257 |        257 |                               _locale
import time:      2677 |       2934 |                             locale
import time:      2245 |       5179 |                           calendar
import time:       781 |       5960 |                         email._parseaddr
import time:       556 |        556 |                             base64
import time:       370 |        926 |                           email.base64mime
import time:        74 |         74 |                               _string
import time:      5723 |       5796 |                             string
import time:       510 |       6305 |                           email.quoprimime
import time:       956 |        956 |                           email.errors
import time:       290 |        290 |                           email.encoders
import time:       712 |       9188 |                         email.charset
import time:       972 |      30893 |                       email.utils
import time:      1130 |       1130 |                         email.header
import time:       602 |       1731 |                       email._policybase
import time:       672 |        672 |                       email._encoded_words
import time:       439 |        439 |                       email.iterators
import time:      1271 |      35412 |                     email.message
import time:       283 |        283 |                       importlib.metadata._functools
import time:       346 |        628 |                     importlib.metadata._text
import time:       665 |      36704 |                   importlib.metadata._adapters
import time:       932 |        932 |                   importlib.metadata._meta
import time:       593 |        593 |                   importlib.metadata._collections
import time:       252 |        252 |                   importlib.metadata._itertools
import time:       958 |        958 |                           weakref
import time:       979 |       1937 |                         tempfile
import time:       856 |        856 |                         importlib.resources.abc
import time:       634 |        634 |                         importlib.resources._adapters
import time:       926 |       4351 |                       importlib.resources._common
import time:       446 |        446 |                       importlib.resources._legacy
import time:       313 |       5110 |                     importlib.resources
import time:       756 |       5865 |                   importlib.abc
import time:      2437 |      80717 |                 importlib.metadata
import time:      1677 |       1677 |                   traceback
import time:       114 |        114 |                   atexit
import time:      5063 |       6854 |                 logging
import time:      1606 |      90221 |               google.api_core._python_version_support
import time:      1008 |     100557 |             google.api_core._python_package_support
import time:       403 |        403 |             google.api_core.version
import time:      2493 |     103452 |           google.api_core
import time:       463 |        463 |           google.cloud.compute_v1.gapic_version
import time:       268 |        268 |             google.cloud.compute_v1.services
import time:       937 |        937 |                     _json
import time:       890 |       1826 |                   json.scanner
import time:       957 |       2783 |                 json.decoder
import time:      1106 |       1106 |                 json.encoder
import time:       449 |       4337 |               json
import time:      1936 |       1936 |               http
import time:       560 |        560 |               google.protobuf
import time:       332 |        332 |                 google.api_core.general_helpers
import time:      1080 |       1411 |               google.api_core.client_options
import time:      1024 |       1024 |                     email.feedparser
import time:       458 |       1481 |                   email.parser
import time:      4039 |       4039 |                     _ssl
import time:      5138 |       9177 |                   ssl
import time:      2360 |      13018 |                 http.client
import time:       371 |        371 |                 google.rpc
import time:       460 |        460 |                     google.protobuf.internal
import time:       109 |        109 |                       google.protobuf.internal._api_implementation
import time:       606 |        606 |                       google.protobuf.message
import time:       329 |        329 |                       google.protobuf.internal.enum_type_wrapper
import time:       133 |        133 |                       google.protobuf.enable_deterministic_proto_serialization
import time:      3949 |       5124 |                     google.protobuf.internal.api_implementation
import time:      1761 |       7344 |                   google.protobuf.descriptor
import time:       538 |        538 |                     google.protobuf.descriptor_database
import time:       853 |        853 |                     google.protobuf.text_encoding
import time:       352 |        352 |                     google.protobuf.internal.python_edition_defaults
import time:       576 |        576 |                         encodings.raw_unicode_escape
import time:       403 |        403 |                         encodings.unicode_escape
import time:       731 |        731 |                           numbers
import time:       478 |        478 |                             copy
import time:       674 |        674 |                               _compat_pickle
import time:       587 |        587 |                               _pickle
import time:      2118 |       3378 |                             pickle
import time:      1986 |       5841 |                           google.protobuf.internal.containers
import time:       373 |        373 |                             google.protobuf.internal.wire_format
import time:       606 |        978 |                           google.protobuf.internal.encoder
import time:       624 |       8173 |                         google.protobuf.internal.decoder
import time:       929 |        929 |                         google.protobuf.internal.type_checkers
import time:       304 |        304 |                         google.protobuf.unknown_fields
import time:      2507 |      12890 |                       google.protobuf.text_format
import time:       416 |        416 |                       google.protobuf.internal.extension_dict
import time:       309 |        309 |                       google.protobuf.internal.message_listener
import time:       415 |        415 |                         google.protobuf.internal.field_mask
import time:       871 |       1285 |                       google.protobuf.internal.well_known_types
import time:      1225 |      16123 |                     google.protobuf.internal.python_message
import time:       973 |      18838 |                   google.protobuf.descriptor_pool
import time:       267 |        267 |                       google.protobuf.pyext
import time:       368 |        368 |                       google.protobuf.pyext.cpp_message
import time:       338 |        972 |                     google.protobuf.message_factory
import time:       356 |       1327 |                   google.protobuf.symbol_database
import time:       212 |        212 |                     google.protobuf.reflection
import time:       332 |        544 |                   google.protobuf.internal.builder
import time:       491 |        491 |                     google.protobuf.runtime_version
import time:       428 |        918 |                   google.protobuf.duration_pb2
import time:      1229 |      30197 |                 google.rpc.error_details_pb2
import time:       393 |        393 |                     grpc._cython
import time:       324 |        324 |                             concurrent
import time:      1266 |       1266 |                             concurrent.futures._base
import time:       433 |       2022 |                           concurrent.futures
import time:       337 |        337 |                             _heapq
import time:       449 |        785 |                           heapq
import time:      1093 |       1093 |                             signal
import time:       352 |        352 |                             fcntl
import time:       144 |        144 |                             msvcrt
import time:       275 |        275 |                             _posixsubprocess
import time:      1230 |       3092 |                           subprocess
import time:       590 |        590 |                           asyncio.constants
import time:       416 |        416 |                           asyncio.coroutines
import time:       282 |        282 |                               _contextvars
import time:       303 |        585 |                             contextvars
import time:       305 |        305 |                             asyncio.format_helpers
import time:       303 |        303 |                               asyncio.base_futures
import time:       419 |        419 |                               asyncio.exceptions
import time:       302 |        302 |                               asyncio.base_tasks
import time:       575 |       1598 |                             _asyncio
import time:      1094 |       3581 |                           asyncio.events
import time:       505 |        505 |                           asyncio.futures
import time:       367 |        367 |                           asyncio.protocols
import time:       565 |        565 |                             asyncio.transports
import time:       247 |        247 |                             asyncio.log
import time:      2552 |       3363 |                           asyncio.sslproto
import time:       304 |        304 |                               asyncio.mixins
import time:       866 |       1170 |                             asyncio.locks
import time:      1522 |       1522 |                               asyncio.timeouts
import time:       822 |       2343 |                             asyncio.tasks
import time:       567 |       4080 |                           asyncio.staggered
import time:       339 |        339 |                           asyncio.trsock
import time:      1947 |      21081 |                         asyncio.base_events
import time:       573 |        573 |                         asyncio.runners
import time:       531 |        531 |                         asyncio.queues
import time:      1066 |       1066 |                         asyncio.streams
import time:       568 |        568 |                         asyncio.subprocess
import time:       493 |        493 |                         asyncio.taskgroups
import time:       391 |        391 |                         asyncio.threads
import time:       770 |        770 |                           asyncio.base_subprocess
import time:      1814 |       1814 |                           asyncio.selector_events
import time:      1834 |       4417 |                         asyncio.unix_events
import time:       672 |      29787 |                       asyncio
import time:      1419 |       1419 |                         grpc._typing
import time:       772 |       2191 |                       grpc._observability
import time:       743 |        743 |                       pkgutil
import time:      8725 |      41445 |                     grpc._cython.cygrpc
import time:       724 |      42561 |                   grpc._compression
import time:       472 |        472 |                   grpc._runtime_protos
import time:       283 |        283 |                   grpc._grpcio_metadata
import time:       224 |        224 |                   grpc_tools
import time:       111 |        111 |                   grpc_health
import time:       111 |        111 |                   grpc_reflection
import time:      3882 |       3882 |                         typing_extensions
import time:       586 |       4468 |                       grpc.aio._metadata
import time:       512 |        512 |                       grpc.aio._typing
import time:      1027 |       6007 |                     grpc.aio._base_call
import time:      1193 |       1193 |                     grpc.aio._base_channel
import time:       687 |        687 |                     grpc.aio._base_server
import time:       620 |        620 |                       grpc._common
import time:      1633 |       2253 |                     grpc.aio._call
import time:       493 |        493 |                         grpc.aio._utils
import time:      1810 |       2303 |                       grpc.aio._interceptor
import time:      1280 |       3583 |                     grpc.aio._channel
import time:       707 |        707 |                     grpc.aio._server
import time:       563 |      14988 |                   grpc.aio
import time:      3572 |      62320 |                 grpc
import time:       381 |        381 |                 grpc_status
import time:       361 |        361 |                     google.protobuf.any_pb2
import time:       370 |        730 |                   google.rpc.status_pb2
import time:       269 |        269 |                   grpc_status._common
import time:      1284 |       1284 |                       grpc._simple_stubs
import time:       717 |       2001 |                     grpc.experimental
import time:       666 |        666 |                     grpc.experimental.aio
import time:       290 |       2956 |                   grpc_status._async
import time:       718 |       4672 |                 grpc_status.rpc_status
import time:      2568 |     113523 |               google.api_core.exceptions
import time:       150 |        150 |                       _wmi
import time:      1049 |       1199 |                     platform
import time:       985 |       2183 |                   google.api_core.client_info
import time:       410 |       2593 |                 google.api_core.gapic_v1.client_info
import time:      1626 |       1626 |                             urllib3.exceptions
import time:      1684 |       1684 |                                     urllib3.util.timeout
import time:       571 |       2254 |                                   urllib3.util.connection
import time:       578 |        578 |                                     urllib3.util.util
import time:       738 |        738 |                                     brotlicffi
import time:       698 |        698 |                                     brotli
import time:       698 |        698 |                                     backports
import time:      1077 |       3786 |                                   urllib3.util.request
import time:       309 |        309 |                                   urllib3.util.response
import time:       937 |        937 |                                   urllib3.util.retry
import time:       922 |        922 |                                     hmac
import time:     13737 |      13737 |                                     urllib3.util.url
import time:       959 |        959 |                                     urllib3.util.ssltransport
import time:       681 |      16297 |                                   urllib3.util.ssl_
import time:       329 |        329 |                                   urllib3.util.wait
import time:       387 |      24297 |                                 urllib3.util
import time:        55 |      24351 |                               urllib3.util.connection
import time:      1306 |      25657 |                             urllib3._base_connection
import time:      1321 |       1321 |                             urllib3._collections
import time:       284 |        284 |                             urllib3._version
import time:       414 |        414 |                                 _queue
import time:       865 |       1279 |                               queue
import time:       178 |        178 |                                       _winapi
import time:       104 |        104 |                                       winreg
import time:       851 |       1132 |                                     mimetypes
import time:       826 |       1957 |                                   urllib3.fields
import time:       559 |       2515 |                                 urllib3.filepost
import time:       164 |        164 |                                   brotlicffi
import time:       105 |        105 |                                   brotli
import time:       580 |        580 |                                     urllib3.http2
import time:       696 |        696 |                                     urllib3.http2.probe
import time:       751 |        751 |                                     urllib3.util.ssl_match_hostname
import time:      1766 |       3791 |                                   urllib3.connection
import time:       162 |        162 |                                   backports
import time:      1320 |       5540 |                                 urllib3.response
import time:       625 |       8680 |                               urllib3._request_methods
import time:       320 |        320 |                               urllib3.util.proxy
import time:      1140 |      11416 |                             urllib3.connectionpool
import time:      1991 |       1991 |                             urllib3.poolmanager
import time:       676 |      42968 |                           urllib3
import time:       663 |        663 |                                   81d243bd2c585b0f4821__mypyc
import time:      2627 |       2627 |                                   charset_normalizer.constant
import time:       391 |        391 |                                     unicodedata
import time:       359 |        359 |                                     _multibytecodec
import time:      1193 |       1942 |                                   charset_normalizer.utils
import time:       920 |        920 |                                   charset_normalizer.models
import time:      1171 |       7320 |                                 charset_normalizer.cd
import time:       379 |        379 |                                 _codecs_tw
import time:       349 |        349 |                                 _codecs_hk
import time:       485 |        485 |                                 _codecs_jp
import time:       325 |        325 |                                 _codecs_kr
import time:       367 |        367 |                                 _codecs_cn
import time:       316 |        316 |                                 _codecs_iso2022
import time:     60422 |      69960 |                               charset_normalizer.api
import time:       317 |        317 |                               charset_normalizer.legacy
import time:       226 |        226 |                               charset_normalizer.version
import time:       146 |        146 |                               simplejson
import time:       508 |        508 |                                     urllib.response
